Timestamp,What is your age?,Are you currently living in Zurich City?,What is your primary language?,How good is your german language skills?,What level of study are you currently pursuing?,What is your field of study?,"On a scale from 1 to 5, how would you rate your knowledge about Zurich's waste management system?","In your opinion, how often do you recycle your waste?",Do you think that Zurich's waste management system is effective?,What do you think is the biggest challenge for waste management in Zurich?,Which of these would you suggest to make the biggest improvement to the waste management system in Zurich?,Would you like to receive more information about waste management initiatives in Zurich in the future?
2024-05-23T13:24:17Z,20-25,Yes,German,NA,Bachelor's,,1,Always,3,Insufficient public awareness and participation in recycling programs,Expand incentives for businesses to reduce waste,No
2024-05-23T13:40:16Z,20-25,Yes,English,2,Master's,,3,Always,4,Insufficient public awareness and participation in recycling programs,Enhance public education and outreach on recycling,No
2024-05-23T13:40:22Z,20-25,Yes,German,NA,Master's,,2,Sometimes,4,Increasing volume of waste due to urban growth,Invest in new technologies for waste processing and recycling,No
2024-05-23T13:41:37Z,26-30,Yes,German,NA,Master's,,4,Often,2,Increasing volume of waste due to urban growth,Allow for plastics recycling besides PET,No
2024-05-23T13:46:38Z,20-25,Yes,German,NA,Master's,,2,Often,2,Insufficient public awareness and participation in recycling programs,Implement more comprehensive waste sorting facilities,No
2024-05-23T14:03:20Z,26-30,No,German,NA,Master's,,2,Often,3,Regulatory constraints limiting waste management innovation,Expand incentives for businesses to reduce waste,Yes
2024-05-23T14:17:56Z,20-25,No,German,NA,Master's,,3,Sometimes,4,Insufficient public awareness and participation in recycling programs,Enhance public education and outreach on recycling,Yes
2024-05-23T14:32:48Z,20-25,Yes,Italian,3,Master's,,1,Rarely,2,Lack of advanced recycling technologies,Invest in new technologies for waste processing and recycling,No
2024-05-23T15:29:07Z,20-25,Yes,German,NA,Master's,,4,Often,3,too inconvenient sometimes,make it more convenient,No
2024-05-23T16:00:33Z,20-25,Yes,German,NA,Master's,,3,Always,5,Insufficient public awareness and participation in recycling programs,Invest in new technologies for waste processing and recycling,Yes
